K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
1,17,16,CX,E,entanglement,0.006445312500000006,0.009529168573959513,5,"[0.012109375000000016, 0.020898437500000006, -0.0074218750000000005, 0.004101562500000002, 0.002539062499999999]"
1,18,17,RY,M,magic,0.018359374999999994,0.012315533414401912,5,"[-0.0019531250000000026, 0.025, 0.016796875, 0.035546875, 0.01640624999999999]"
1,19,18,RY,M,magic,-0.011718749999999998,0.009663528810041393,5,"[-0.02109375, -0.004296874999999998, -0.013671875, -0.022265624999999997, 0.0027343750000000033]"
8,2,1,P,M,magic,0.022021484374999994,0.002139541240254555,5,"[0.019775390625, 0.020117187499999994, 0.02216796874999999, 0.02226562499999998, 0.02578125]"
8,4,3,P,M,magic,0.0061621093749999935,0.004917881874729103,5,"[0.008740234374999992, 0.0022460937499999964, 0.005859374999999992, 0.01396484374999999, -4.336808689942018e-18]"
8,5,4,CX,E,entanglement,0.0008154296874999991,0.0027460600632491033,5,"[0.000659179687500002, -0.0006347656250000001, -0.0033691406249999993, 0.004516601562499995, 0.002905273437499998]"
8,6,5,P,X,mix,-0.004023437499999998,0.007647276309964046,5,"[-0.0017578125000000076, -0.004882812499999998, -0.01757812499999998, 0.005859374999999986, -0.0017578124999999938]"
8,7,6,CX,E,entanglement,0.014458007812499996,0.0025119875560865317,5,"[0.015429687499999992, 0.013476562499999997, 0.0185546875, 0.013916015624999995, 0.010913085937500004]"
8,8,7,H,E,entanglement,-0.007939453125000002,0.005833446864885242,5,"[-0.0025878906250000008, -0.017211914062500003, -0.008471679687499997, -0.000952148437500004, -0.010473632812500003]"
8,9,8,P,M,magic,0.015273437499999995,0.0032111537145877865,5,"[0.014501953124999986, 0.015478515625000001, 0.009716796874999994, 0.017529296875, 0.01914062499999999]"
8,10,9,H,E,entanglement,0.0009082031250000008,0.005143606695169718,5,"[-0.0025146484375000023, 0.00017089843750000134, -0.00498046875, 0.0017578124999999977, 0.010107421875000007]"
8,11,10,P,M,magic,-0.003183593749999999,0.0036326812392281052,5,"[-0.0009277343749999945, 0.0004882812500000004, -0.009326171874999999, -0.0008789062500000021, -0.0052734374999999995]"
