partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
qubit_role,1,15,14,RY,Q0,q0 local readout path,-0.0031249999999999963,0.016296133432313013,5,"[0.017187500000000005, -0.028124999999999983, 0.008984374999999996, -0.014453125000000002, 0.000781250000000002]"
qubit_role,1,16,15,RY,Q1,q1 local hidden path,0.006992187499999997,0.011438311105119493,5,"[0.01679687499999999, -0.008203124999999995, 0.008984375000000001, 0.021289062499999994, -0.0039062499999999987]"
qubit_role,1,17,16,CX,2Q,two-qubit couplers,0.006171875000000002,0.011732804072609836,5,"[0.014453125000000008, 0.004296874999999999, -0.003124999999999994, -0.008593749999999999, 0.02382812499999999]"
qubit_role,1,18,17,RY,Q0,q0 local readout path,0.01968749999999999,0.010650818813887032,5,"[0.03906249999999999, 0.007031249999999997, 0.01523437499999999, 0.01640624999999999, 0.020703124999999975]"
qubit_role,1,19,18,RY,Q1F,final q1 post-readout rotation,-0.0325,0.05382262535402745,5,"[-0.006250000000000019, -0.012500000000000004, -0.09999999999999996, 0.04375, -0.08750000000000001]"
qubit_role,8,2,1,P,Q0,q0 local readout path,0.001376953124999998,0.005197056069032538,5,"[0.009619140624999994, -0.0017578125000000003, -0.0037597656249999953, 0.005322265624999993, -0.002539062500000001]"
qubit_role,8,4,3,P,Q1,q1 local hidden path,-0.00013671875000000012,0.0016756372634456024,5,"[-0.001708984374999999, 0.002416992187500002, 0.0007324218749999972, 7.324218750000538e-05, -0.002197265625000006]"
qubit_role,8,5,4,CX,2Q,two-qubit couplers,-0.0028027343750000053,0.004220693635025192,5,"[0.0029296874999999926, -0.0030761718750000016, -9.765625000000356e-05, -0.004101562500000014, -0.009667968749999999]"
qubit_role,8,6,5,P,Q1,q1 local hidden path,-0.0006591796875000018,0.0033953984143920523,5,"[-0.005346679687500007, 0.0034912109375000006, -0.0003662109375000013, 0.002490234374999997, -0.0035644531249999986]"
qubit_role,8,7,6,CX,2Q,two-qubit couplers,0.0159375,0.005913212945709685,5,"[0.00673828125, 0.012548828124999994, 0.023876953125000003, 0.019824218750000008, 0.016699218749999994]"
qubit_role,8,8,7,H,Q0,q0 local readout path,0.017841796875000003,0.009274495862230742,5,"[0.03183593750000001, 0.004638671875000009, 0.021044921875, 0.020410156250000002, 0.011279296875000004]"
qubit_role,8,9,8,P,Q0,q0 local readout path,0.007988281249999998,0.003291986248743163,5,"[0.009472656250000006, 0.008740234374999994, 0.0036621093749999983, 0.012939453125000002, 0.0051269531249999905]"
qubit_role,8,10,9,H,Q1,q1 local hidden path,0.014633789062500003,0.0053473507534064066,5,"[0.0220947265625, 0.00859375, 0.0084228515625, 0.016406250000000008, 0.01765136718750001]"
qubit_role,8,11,10,P,Q1,q1 local hidden path,-0.006166992187500002,0.0015833117165679296,5,"[-0.007739257812499998, -0.004638671875000008, -0.0041748046875, -0.00810546875, -0.0061767578125000045]"
qubit_role,8,12,11,CX,2Q,two-qubit couplers,0.0009765625000000007,0.006344124618518535,5,"[0.0033203125, 0.004589843749999998, -0.008740234374999996, -0.003515624999999998, 0.009228515625]"
qubit_role,8,13,12,P,Q1,q1 local hidden path,0.013505859374999998,0.0039170200648394075,5,"[0.017041015625000013, 0.007983398437499994, 0.016577148437500005, 0.009521484375, 0.016406249999999987]"
qubit_role,8,14,13,CX,2Q,two-qubit couplers,-0.0008593749999999976,0.006522648015475698,5,"[-0.0034667968749999907, -0.005126953124999998, -0.007275390625, 0.011181640625000003, 0.0003906249999999982]"
qubit_role,8,15,14,RY,Q0,q0 local readout path,0.0038183593749999993,0.008800686757426585,5,"[0.015136718749999986, 0.007080078125000005, -0.010546874999999997, 0.008300781249999997, -0.0008789062499999934]"
qubit_role,8,16,15,RY,Q1,q1 local hidden path,0.010751953125000002,0.0033651258348173663,5,"[0.013623046875, 0.0072753906250000045, 0.014526367187500007, 0.012084960937499991, 0.006249999999999998]"
qubit_role,8,17,16,CX,2Q,two-qubit couplers,0.008613281250000004,0.0030116465519069925,5,"[0.012695312500000007, 0.004980468750000005, 0.006835937500000007, 0.011669921875, 0.006884765625000007]"
qubit_role,8,18,17,RY,Q0,q0 local readout path,0.002607421874999999,0.00831200986865635,5,"[0.015917968749999994, -0.010253906249999991, 0.0019531250000000065, 0.003808593749999997, 0.0016113281249999882]"
