partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
feature_interaction,8,9,8,P,L,local feature encoding,-0.0017578124999999994,0.009374186162592332,5,"[0.00776367187500001, -0.003564453125000009, -0.0015136718749999964, 0.006787109375000003, -0.018261718750000003]"
feature_interaction,8,10,9,H,L,local feature encoding,0.018466796874999997,0.006437643401391269,5,"[0.01982421875, 0.007324218749999998, 0.024999999999999988, 0.024169921875000007, 0.016015625]"
feature_interaction,8,11,10,P,L,local feature encoding,-0.0010058593750000024,0.00312081629124985,5,"[-0.0011230468750000038, 0.0046386718749999965, -0.0022949218750000014, -0.0013671874999999986, -0.004882812500000004]"
feature_interaction,8,12,11,CX,XFE,cross-feature entangling motifs,0.003779296875000003,0.0016851292664158575,5,"[0.004003906250000008, 0.0023925781250000045, 0.001367187500000003, 0.005468749999999997, 0.005664062500000003]"
feature_interaction,8,13,12,P,XFE,cross-feature entangling motifs,0.007919921875000003,0.0014014267327288397,5,"[0.006835937499999998, 0.007910156250000005, 0.006787109375000005, 0.007470703125, 0.010595703125000001]"
feature_interaction,8,14,13,CX,XFE,cross-feature entangling motifs,0.006835937499999998,0.007151745307091124,5,"[0.009277343749999997, 0.0008789062500000077, -9.765624999999358e-05, 0.01953124999999999, 0.004589843749999994]"
feature_interaction,8,15,14,RY,C,trainable classifier,0.02443359375,0.0132482356210294,5,"[0.04482421874999998, 0.023535156250000012, 0.003027343750000003, 0.02470703125000001, 0.026074218749999996]"
feature_interaction,8,16,15,RY,C,trainable classifier,0.0036914062500000054,0.00339383218851907,5,"[0.0037109375000000085, 0.0051757812499999955, 0.006542968750000013, -0.0028320312499999986, 0.005859375000000006]"
feature_interaction,8,17,16,CX,C,trainable classifier,0.011191406249999996,0.005051613487602253,5,"[0.01660156250000001, 0.005371093749999991, 0.00546875, 0.011718749999999991, 0.016796874999999982]"
feature_interaction,8,18,17,RY,C,trainable classifier,0.014023437499999996,0.007634845318479567,5,"[0.026367187499999993, 0.007421874999999996, 0.006738281249999997, 0.019335937499999997, 0.01025390625]"
feature_interaction,8,19,18,RY,C,trainable classifier,0.0005273437500000004,0.005763737728889288,5,"[-0.00019531250000000278, 0.010742187499999995, 0.0018554687500000082, -0.004199218749999996, -0.00556640625]"
feature_interaction,16,2,1,P,L,local feature encoding,0.008974609374999994,0.002202608521436806,5,"[0.011157226562499997, 0.012011718749999985, 0.007617187499999999, 0.007739257812499997, 0.0063476562500000035]"
feature_interaction,16,4,3,P,L,local feature encoding,0.0028662109375000014,0.004465507558101854,5,"[-0.004077148437499987, 0.007617187499999991, 0.007861328125, 0.0013183593750000036, 0.0016113281250000012]"
feature_interaction,16,5,4,CX,XFE,cross-feature entangling motifs,0.006455078124999995,0.0036002788117843057,5,"[0.008349609375000006, 0.007641601562499991, -0.0007080078125000062, 0.008203124999999993, 0.008789062499999991]"
feature_interaction,16,6,5,P,XFE,cross-feature entangling motifs,-0.0225439453125,0.003023466519159828,5,"[-0.024975585937499992, -0.022607421875000006, -0.016699218750000012, -0.024316406250000023, -0.024121093749999996]"
feature_interaction,16,7,6,CX,XFE,cross-feature entangling motifs,-0.003925781250000001,0.004467770769295652,5,"[-0.002978515625000006, -0.0013183593750000062, -0.009179687499999997, -0.008691406250000002, 0.0025390625000000044]"
