r,subset_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
3,11-12-19,11-12-19,1-3-8-10-11-12-15-17-19,3,9,0.5,0
3,11-12-20,11-12-20,1-3-8-10-11-12-15-17-20,3,9,0.547,0
3,11-12-21,11-12-21,1-3-8-10-11-12-15-17-21,3,9,0.5,0
3,11-13-14,11-13-14,1-3-8-10-11-13-14-15-17,3,9,0.5,0
3,11-13-16,11-13-16,1-3-8-10-11-13-15-16-17,3,9,0.531,0
3,11-13-18,11-13-18,1-3-8-10-11-13-15-17-18,3,9,0.557,0
3,11-13-19,11-13-19,1-3-8-10-11-13-15-17-19,3,9,0.5,0
3,11-13-20,11-13-20,1-3-8-10-11-13-15-17-20,3,9,0.547,0
3,11-13-21,11-13-21,1-3-8-10-11-13-15-17-21,3,9,0.5,0
3,11-14-16,11-14-16,1-3-8-10-11-14-15-16-17,3,9,0.531,0
3,11-14-18,11-14-18,1-3-8-10-11-14-15-17-18,3,9,0.557,0
3,11-14-19,11-14-19,1-3-8-10-11-14-15-17-19,3,9,0.5,0
3,11-14-20,11-14-20,1-3-8-10-11-14-15-17-20,3,9,0.547,0
3,11-14-21,11-14-21,1-3-8-10-11-14-15-17-21,3,9,0.5,0
3,11-16-18,11-16-18,1-3-8-10-11-15-16-17-18,3,9,0.74,0
3,11-16-19,11-16-19,1-3-8-10-11-15-16-17-19,3,9,0.531,0
3,11-16-20,11-16-20,1-3-8-10-11-15-16-17-20,3,9,0.551,0
3,11-16-21,11-16-21,1-3-8-10-11-15-16-17-21,3,9,0.531,0
3,11-18-19,11-18-19,1-3-8-10-11-15-17-18-19,3,9,0.557,0
3,11-18-20,11-18-20,1-3-8-10-11-15-17-18-20,3,9,0.661,0
3,11-18-21,11-18-21,1-3-8-10-11-15-17-18-21,3,9,0.557,0
3,11-19-20,11-19-20,1-3-8-10-11-15-17-19-20,3,9,0.547,0
3,11-19-21,11-19-21,1-3-8-10-11-15-17-19-21,3,9,0.5,0
3,11-20-21,11-20-21,1-3-8-10-11-15-17-20-21,3,9,0.547,0
3,12-13-14,12-13-14,1-3-8-10-12-13-14-15-17,3,9,0.5,0
3,12-13-16,12-13-16,1-3-8-10-12-13-15-16-17,3,9,0.531,0
3,12-13-18,12-13-18,1-3-8-10-12-13-15-17-18,3,9,0.557,0
3,12-13-19,12-13-19,1-3-8-10-12-13-15-17-19,3,9,0.5,0
3,12-13-20,12-13-20,1-3-8-10-12-13-15-17-20,3,9,0.547,0
3,12-13-21,12-13-21,1-3-8-10-12-13-15-17-21,3,9,0.5,0
3,12-14-16,12-14-16,1-3-8-10-12-14-15-16-17,3,9,0.531,0
3,12-14-18,12-14-18,1-3-8-10-12-14-15-17-18,3,9,0.557,0
3,12-14-19,12-14-19,1-3-8-10-12-14-15-17-19,3,9,0.5,0
3,12-14-20,12-14-20,1-3-8-10-12-14-15-17-20,3,9,0.547,0
3,12-14-21,12-14-21,1-3-8-10-12-14-15-17-21,3,9,0.5,0
3,12-16-18,12-16-18,1-3-8-10-12-15-16-17-18,3,9,0.74,0
3,12-16-19,12-16-19,1-3-8-10-12-15-16-17-19,3,9,0.531,0
3,12-16-20,12-16-20,1-3-8-10-12-15-16-17-20,3,9,0.551,0
3,12-16-21,12-16-21,1-3-8-10-12-15-16-17-21,3,9,0.531,0
3,12-18-19,12-18-19,1-3-8-10-12-15-17-18-19,3,9,0.557,0
3,12-18-20,12-18-20,1-3-8-10-12-15-17-18-20,3,9,0.661,0
3,12-18-21,12-18-21,1-3-8-10-12-15-17-18-21,3,9,0.557,0
3,12-19-20,12-19-20,1-3-8-10-12-15-17-19-20,3,9,0.547,0
3,12-19-21,12-19-21,1-3-8-10-12-15-17-19-21,3,9,0.5,0
3,12-20-21,12-20-21,1-3-8-10-12-15-17-20-21,3,9,0.547,0
3,13-14-16,13-14-16,1-3-8-10-13-14-15-16-17,3,9,0.531,0
3,13-14-18,13-14-18,1-3-8-10-13-14-15-17-18,3,9,0.557,0
3,13-14-19,13-14-19,1-3-8-10-13-14-15-17-19,3,9,0.5,0
3,13-14-20,13-14-20,1-3-8-10-13-14-15-17-20,3,9,0.547,0
3,13-14-21,13-14-21,1-3-8-10-13-14-15-17-21,3,9,0.5,0
3,13-16-18,13-16-18,1-3-8-10-13-15-16-17-18,3,9,0.74,0
3,13-16-19,13-16-19,1-3-8-10-13-15-16-17-19,3,9,0.531,0
3,13-16-20,13-16-20,1-3-8-10-13-15-16-17-20,3,9,0.551,0
3,13-16-21,13-16-21,1-3-8-10-13-15-16-17-21,3,9,0.531,0
3,13-18-19,13-18-19,1-3-8-10-13-15-17-18-19,3,9,0.557,0
3,13-18-20,13-18-20,1-3-8-10-13-15-17-18-20,3,9,0.661,0
3,13-18-21,13-18-21,1-3-8-10-13-15-17-18-21,3,9,0.557,0
3,13-19-20,13-19-20,1-3-8-10-13-15-17-19-20,3,9,0.547,0
3,13-19-21,13-19-21,1-3-8-10-13-15-17-19-21,3,9,0.5,0
3,13-20-21,13-20-21,1-3-8-10-13-15-17-20-21,3,9,0.547,0
3,14-16-18,14-16-18,1-3-8-10-14-15-16-17-18,3,9,0.74,0
3,14-16-19,14-16-19,1-3-8-10-14-15-16-17-19,3,9,0.531,0
3,14-16-20,14-16-20,1-3-8-10-14-15-16-17-20,3,9,0.551,0
3,14-16-21,14-16-21,1-3-8-10-14-15-16-17-21,3,9,0.531,0
3,14-18-19,14-18-19,1-3-8-10-14-15-17-18-19,3,9,0.557,0
3,14-18-20,14-18-20,1-3-8-10-14-15-17-18-20,3,9,0.661,0
3,14-18-21,14-18-21,1-3-8-10-14-15-17-18-21,3,9,0.557,0
3,14-19-20,14-19-20,1-3-8-10-14-15-17-19-20,3,9,0.547,0
3,14-19-21,14-19-21,1-3-8-10-14-15-17-19-21,3,9,0.5,0
3,14-20-21,14-20-21,1-3-8-10-14-15-17-20-21,3,9,0.547,0
3,16-18-19,16-18-19,1-3-8-10-15-16-17-18-19,3,9,0.74,0
3,16-18-20,16-18-20,1-3-8-10-15-16-17-18-20,3,9,0.636,0
3,16-18-21,16-18-21,1-3-8-10-15-16-17-18-21,3,9,0.74,0
3,16-19-20,16-19-20,1-3-8-10-15-16-17-19-20,3,9,0.551,0
3,16-19-21,16-19-21,1-3-8-10-15-16-17-19-21,3,9,0.531,0
3,16-20-21,16-20-21,1-3-8-10-15-16-17-20-21,3,9,0.551,0
3,18-19-20,18-19-20,1-3-8-10-15-17-18-19-20,3,9,0.634,0
3,18-19-21,18-19-21,1-3-8-10-15-17-18-19-21,3,9,0.557,0
3,18-20-21,18-20-21,1-3-8-10-15-17-18-20-21,3,9,0.661,0
3,19-20-21,19-20-21,1-3-8-10-15-17-19-20-21,3,9,0.547,0
3,2-11-12,2-11-12,1-2-3-8-10-11-12-15-17,3,9,0.531,0
