partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
architecture,1,18,17,RY,C,trainable classifier,0.014687499999999997,0.018953324658882414,5,"[-0.014062500000000012, 0.03671875000000001, 0.01874999999999999, 0.03125000000000001, 0.0007812499999999981]"
architecture,1,19,18,RY,C,trainable classifier,-0.00046874999999999727,0.009727739010170862,5,"[-0.006249999999999999, 0.01875, -0.0062499999999999995, -0.006249999999999992, -0.002343749999999996]"
architecture,8,2,1,P,B1,feature map block 1,0.015957031249999996,0.009059342459086949,5,"[0.01435546875, 0.005371093749999999, 0.01103515625, 0.016601562500000007, 0.03242187499999999]"
architecture,8,4,3,P,B1,feature map block 1,0.0176171875,0.006157023269963744,5,"[0.019433593750000006, 0.015624999999999995, 0.016308593749999996, 0.008886718750000001, 0.027832031250000007]"
architecture,8,5,4,CX,B1,feature map block 1,0.005546874999999994,0.009618104520658555,5,"[0.02041015624999999, 0.004882812499999997, 0.010644531249999995, -0.007910156250000015, -0.0002929687500000007]"
architecture,8,6,5,P,B1,feature map block 1,-0.009570312500000008,0.008927298318832945,5,"[-0.021289062500000004, 0.004296874999999995, -0.005664062500000007, -0.008398437500000005, -0.016796875000000013]"
architecture,8,7,6,CX,B1,feature map block 1,0.0063867187500000035,0.007620091593835171,5,"[0.00517578125, 0.009277343750000003, 0.005371093750000002, -0.005761718749999987, 0.017871093749999997]"
architecture,8,8,7,H,B2,feature map block 2,0.007348632812499997,0.005020067950696908,5,"[0.006127929687499995, 0.013427734374999993, 0.0008789062499999936, 0.012866210937499997, 0.0034423828125000025]"
architecture,8,9,8,P,B2,feature map block 2,0.0024609375000000013,0.002470548722942262,5,"[-0.0001220703125, 0.006469726562500002, 0.0022705078125000006, 0.0037109375000000016, -2.441406249999666e-05]"
architecture,8,10,9,H,B2,feature map block 2,0.0024267578124999994,0.0026809086366685613,5,"[0.0014404296874999947, 0.002685546875000004, -0.0012695312500000068, 0.0070312500000000045, 0.0022460937500000016]"
architecture,8,11,10,P,B2,feature map block 2,-0.002392578124999998,0.0021427147681758246,5,"[-0.0012939453125000036, -0.006518554687499995, -0.00034179687499999835, -0.0020507812499999936, -0.0017578125000000003]"
architecture,8,12,11,CX,B2,feature map block 2,0.00263671875,0.005945353083027141,5,"[-0.0016845703124999992, 0.0031249999999999984, -0.004980468749999998, 0.004223632812500001, 0.012499999999999997]"
