K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
1,16,15,RY,M,magic,0.006015624999999996,0.012734704510690828,5,"[-0.009960937500000005, -0.0003906249999999999, 0.017578124999999986, -0.0012695312499999964, 0.024121093749999996]"
1,17,16,CX,E,entanglement,0.003437500000000003,0.017805645611013377,5,"[-0.02109375, 0.010937500000000006, 0.026562499999999996, -0.013281249999999998, 0.014062500000000012]"
1,18,17,RY,M,magic,-0.013105468750000007,0.006391047605983951,5,"[-0.02343750000000002, -0.010644531250000007, -0.0036132812500000036, -0.013867187500000013, -0.01396484375]"
1,19,18,RY,M,magic,-0.004687500000000002,0.007459556891241727,5,"[-0.0019531249999999972, 0.005957031250000001, -0.004492187500000009, -0.005761718749999994, -0.017187500000000012]"
8,2,1,P,M,magic,0.00038818359374999877,0.002593715805379831,5,"[0.0016357421875000018, 0.00012207031249999837, 0.001464843749999995, -0.00443115234375, 0.003149414062499998]"
8,4,3,P,M,magic,0.006889648437500002,0.0014874677061534382,5,"[0.005651855468749998, 0.005981445312500004, 0.008630371093750002, 0.008764648437500008, 0.005419921875000002]"
8,5,4,CX,E,entanglement,0.009726562499999997,0.006348287228254708,5,"[0.0008789062499999995, 0.018749999999999996, 0.006835937499999993, 0.014941406249999987, 0.0072265625000000056]"
8,6,5,P,X,mix,-0.0025781250000000014,0.005814148371779189,5,"[0.00742187500000001, -0.005273437500000016, -0.0009765624999999896, -0.003906250000000002, -0.010156250000000009]"
8,7,6,CX,X,mix,0.017421874999999996,0.01152270919308639,5,"[-0.0017578125000000146, 0.016210937500000015, 0.030078124999999997, 0.028515625, 0.01406249999999999]"
8,8,7,H,E,entanglement,0.025917968750000003,0.011847695531380643,5,"[0.009374999999999996, 0.03369140625000003, 0.04248046874999999, 0.02763671875, 0.016406250000000004]"
8,9,8,P,M,magic,0.0023022460937500004,0.002943029920622277,5,"[-0.00040283203125000085, 0.0026245117187500013, -0.001660156249999995, 0.005310058593749998, 0.005639648437499997]"
8,10,9,H,E,entanglement,0.004746093750000004,0.004092064896502437,5,"[0.006738281250000011, -0.0013671874999999934, 0.004687499999999994, 0.010937500000000003, 0.002734375000000005]"
8,11,10,P,M,magic,0.002150878906249997,0.0034460464353216857,5,"[0.0008178710937499967, -0.0032226562499999985, 0.0032348632812499957, 0.007385253906249995, 0.002539062499999999]"
8,12,11,CX,E,entanglement,0.004335937499999995,0.012043134096132196,5,"[0.013378906249999989, -0.018750000000000003, 0.004687499999999987, 0.008300781250000003, 0.014062499999999999]"
8,13,12,P,X,mix,0.006210937500000011,0.003633862415486787,5,"[0.012890625000000005, 0.0033203125000000316, 0.007226562500000007, 0.004296874999999997, 0.0033203125000000125]"
8,14,13,CX,X,mix,0.005078124999999998,0.009620008090644333,5,"[0.007617187499999994, 0.017187500000000005, -0.004687500000000013, -0.007421874999999982, 0.012695312499999983]"
8,15,14,RY,M,magic,-0.006958007812499998,0.004430314922807019,5,"[-0.0021606445312499995, -0.009497070312500015, -0.007263183593749993, -0.013708496093749984, -0.002160644531249996]"
8,16,15,RY,M,magic,0.007080078124999997,0.0018741828409358958,5,"[0.005407714843749996, 0.008825683593750001, 0.009619140624999994, 0.004809570312499997, 0.0067382812499999995]"
8,17,16,CX,E,entanglement,0.016191406250000002,0.008913485616192922,5,"[0.0064453125, 0.022167968750000003, 0.028124999999999997, 0.01884765625000001, 0.0053710937500000035]"
8,18,17,RY,M,magic,-0.002485351562500001,0.003557980866735091,5,"[-0.008300781250000007, -0.0024536132812499993, 0.002844238281249997, -0.0015624999999999968, -0.0029541015625000008]"
8,19,18,RY,M,magic,-0.0013623046874999991,0.001445089787000336,5,"[0.0015014648437500012, -0.0019409179687500035, -0.0019287109374999997, -0.0019897460937499892, -0.0024536132812500045]"
16,2,1,P,M,magic,-0.0028771972656250005,0.0012201573486948444,5,"[-0.0018615722656250017, -0.0028991699218750035, -0.004144287109374993, -0.004284667968750003, -0.0011962890625000014]"
16,4,3,P,M,magic,0.009390869140625,0.0019385618868481658,5,"[0.008782958984374999, 0.007189941406250002, 0.009661865234374992, 0.012927246093750004, 0.008392333984375005]"
16,5,4,CX,E,entanglement,0.005263671875000006,0.009354602240012545,5,"[0.003613281250000007, -0.0007324218749999896, 0.023681640625000014, -0.0010253906250000068, 0.0007812500000000068]"
16,6,5,P,X,mix,-0.01087890625,0.004080395530527263,5,"[-0.0038085937499999917, -0.015234374999999986, -0.01298828125, -0.008984375000000015, -0.013378906250000003]"
16,7,6,CX,X,mix,0.01580078125,0.012644791301967485,5,"[0.0009765625, 0.028027343749999996, 0.01289062500000001, 0.004296874999999985, 0.0328125]"
16,8,7,H,E,entanglement,0.028095703125,0.006694376894591153,5,"[0.0359375, 0.02607421875, 0.018212890625000006, 0.035253906249999994, 0.025]"
16,9,8,P,M,magic,0.002794189453124998,0.001671050287210281,5,"[0.004901123046875001, 0.0030212402343749952, 0.0019775390624999977, 0.00399169921875, 7.934570312499787e-05]"
16,10,9,H,E,entanglement,0.0011035156249999962,0.006252486687927836,5,"[0.01103515624999999, -0.0013183593750000031, -0.0012695312500000076, 0.004541015624999999, -0.007470703124999997]"
16,11,10,P,M,magic,0.00256103515625,0.0011074717676942962,5,"[0.003802490234375001, 0.0010131835937500007, 0.0019165039062499986, 0.0022216796875000003, 0.0038513183593749997]"
16,12,11,CX,E,entanglement,0.011308593750000002,0.006724439474236925,5,"[0.004003906249999998, 0.020751953125000003, 0.017871093749999997, 0.008105468749999997, 0.00581054687500001]"
16,13,12,P,X,mix,0.011269531250000004,0.01017250052080132,5,"[0.0036132812500000028, 0.015332031250000013, 0.019140625, 0.022753906250000004, -0.004492187499999993]"
16,14,13,CX,X,mix,0.005859375,0.003986959180360314,5,"[0.008203124999999999, 0.00908203125, 0.004687500000000009, -0.0014648437500000052, 0.0087890625]"
16,15,14,RY,M,magic,-0.010899658203124999,0.006380112524026859,5,"[-0.014019775390624992, -0.019256591796874986, -0.013873291015625025, -0.005987548828125, -0.0013610839843749977]"
16,16,15,RY,M,magic,0.0058581542968749985,0.0015269156634131003,5,"[0.004821777343750004, 0.008386230468750002, 0.006872558593749992, 0.0047119140625, 0.004498291015624998]"
16,17,16,CX,E,entanglement,0.026240234374999994,0.00551084178109211,5,"[0.030468750000000013, 0.03124999999999998, 0.030126953124999994, 0.01772460937499999, 0.021630859375000002]"
16,18,17,RY,M,magic,0.0009106445312500025,0.005686033845920175,5,"[-0.00025634765624999985, 0.0015014648437500049, 0.010894775390625003, -0.000964355468749997, -0.006622314453124999]"
16,19,18,RY,M,magic,0.00015747070312499892,0.001559060124961098,5,"[0.000695800781250001, 0.002227783203124999, 0.0008605957031249966, -0.0023925781250000028, -0.0006042480468749996]"
32,2,1,P,M,magic,-0.001979980468750002,0.0012870886168593247,5,"[-0.003338623046875, -0.0032440185546875047, 0.0001861572265624982, -0.0018981933593749992, -0.0016052246093750044]"
32,4,3,P,M,magic,0.008759765625000002,0.0018310797117430675,5,"[0.008889770507812509, 0.008929443359375011, 0.008624267578124995, 0.005789184570312497, 0.011566162109375005]"
32,5,4,CX,E,entanglement,0.000859375000000002,0.006229048899001934,5,"[0.010742187499999995, -9.765624999999705e-05, 0.004125976562500007, -0.002954101562499996, -0.0075195312499999984]"
