benchmark_id,family_role,value_function,n_active,n_nonempty_groups,n_random,emx_dominance_norm,random_dominance_norm_mean,random_dominance_norm_std,random_dominance_norm_median,random_dominance_norm_p05,random_dominance_norm_p95,dominance_percentile,emx_faithfulness_gap,random_faithfulness_gap_mean,random_faithfulness_gap_std,random_faithfulness_gap_median,random_faithfulness_gap_p05,random_faithfulness_gap_p95,faithfulness_percentile,emx_resource_alignment,random_resource_alignment_mean,random_resource_alignment_std,random_resource_alignment_median,random_resource_alignment_p05,random_resource_alignment_p95,resource_alignment_percentile,emx_expected_drop,random_expected_drop_mean,random_expected_drop_std,random_expected_drop_median,random_expected_drop_p05,random_expected_drop_p95,expected_drop_percentile,emx_expected_drop_norm,random_expected_drop_norm_mean,random_expected_drop_norm_std,random_expected_drop_norm_median,random_expected_drop_norm_p05,random_expected_drop_norm_p95,expected_drop_norm_percentile,skip_reason
E5,entanglement_axis,entanglement,6,3,100,0.499600986476359,0.46993448701027213,0.15442721836920706,0.49960098647635864,0.3254696407693,0.8288694690197962,0.51,0.8949644268422094,0.7711086008243366,0.1472654067778015,0.8888741159252396,0.5898378640824302,0.8956792030709488,0.53,0.5011332760831261,0.30909168807966125,0.23251783031623613,0.44182321358939447,1.239531989597813e-16,0.5011332760831264,0.83,0.8956792030709482,0.5686070912616841,0.37845667377121206,0.8888741159252389,0.0,0.8956792030709488,0.71,0.9999999999988828,0.6348334195005404,0.4225359620645465,0.9924023164506106,0.0,0.9999999999988836,0.71,
I11,interior,magic,5,3,100,0.9999999999924892,0.9999999999924896,5.8642480410516815e-16,0.9999999999924892,0.9999999999924892,0.9999999999924909,0.0,0.13317260813013343,0.13317260813013335,1.5553031891404222e-16,0.13317260813013343,0.13317260813013299,0.13317260813013343,0.14,0.9999999999924909,0.5399999999959452,0.49839743177134077,0.9999999999924892,0.0,0.9999999999924909,0.8,0.13317260813013299,0.07191320839027196,0.06637288587484814,0.13317260813013299,0.0,0.13317260813013343,0.46,0.9999999999924842,0.5399999999959426,0.4983974317713397,0.9999999999924842,0.0,0.9999999999924876,0.46,
I11,interior,entanglement,5,3,100,0.49999999999486194,0.6299999999935271,0.21931712199235942,0.49999999999486366,0.49999999999486194,0.999999999989725,0.0,0.09733522340014034,0.0973352234001403,7.776515945702111e-17,0.09733522340014034,0.09733522340014011,0.09733522340014034,0.14,0.49999999999486194,0.38999999999599333,0.31288975694002513,0.49999999999486255,0.0,0.999999999989725,0.43,0.09733522340014011,0.06521459967809397,0.04576825993463087,0.09733522340014011,0.0,0.09733522340014034,0.33,0.999999999989717,0.6699999999931113,0.47021271781551527,0.999999999989717,0.0,0.9999999999897193,0.33,
I15,interior,magic,6,3,100,0.9030175208997634,0.9340519142095747,0.04524001361880573,0.903017520899765,0.9030175208997585,0.9999999999929258,0.28,0.12773476622921986,0.1321246821309009,0.006399347111279762,0.1277347662292203,0.12773476622921898,0.14145325342197346,0.28,0.99999999999293,0.48418105125094685,0.4460439123102391,0.09698247909316818,4.709215225917914e-15,0.9999999999929269,0.97,0.1414532534219739,0.06848898494520222,0.063094362565795,0.013718487192754036,8.881784197001252e-16,0.14145325342197346,0.97,0.9999999999929304,0.48418105125094774,0.44604391231023915,0.09698247909316711,6.278953634557218e-15,0.9999999999929273,0.97,
I15,interior,entanglement,6,3,100,0.5015619934062556,0.5605696199805403,0.20918362078429775,0.5015619934062557,0.323639798161994,0.8297550452960795,0.38,0.8606754454149133,0.7662563703714619,0.13475746592781337,0.8514649848239892,0.564573169685685,0.8606754454149133,0.79,0.502309808486504,0.4447611840430079,0.2765606473324679,0.49694237643208267,0.0007478150802482751,0.8297550452960802,0.61,0.8579950800984828,0.6554487644293354,0.32156330747741807,0.8487846195075595,-0.0026803653164304553,0.8579950800984828,0.75,0.9999999999988345,0.7639306793616317,0.374784558718138,0.9892651358899921,-0.003123986813676918,0.9999999999988345,0.75,
I33,interior,magic,7,3,100,0.1320219006682973,0.37038597004189616,0.212716701644488,0.4777528521095594,0.03654328560896018,0.5629345860387535,0.24,0.0783139041140033,0.27237207948387304,0.2134678118083246,0.2870308224024867,-0.036883498673880875,0.5915614503576871,0.22,0.7070325369758899,0.7159793920911506,0.19111370545084935,0.6729000025336211,0.4617207262793996,0.9969772902968064,0.62,0.5949850756056136,0.4731901001430372,0.12766206657502566,0.5587657101968837,0.3061107525081659,0.5949850756056136,0.73,0.9999999999983193,0.795297427688584,0.2145634769827941,0.9391255900447542,0.5144847577833317,0.9999999999983195,0.73,
I33,interior,entanglement,7,3,100,0.4999999999989986,0.5945548345185788,0.19604399875932016,0.4996579300909339,0.49863100074883443,0.99965793008993,0.63,0.49951401580833843,0.5000734189675448,0.0008615232433044922,0.5005437019632992,0.49814259222644525,0.5008854393902311,0.35,0.49999999999899886,0.2500685448990138,0.2868250561284501,0.001368999250167062,3.704343920581545e-16,0.5013727578581254,0.85,0.499514015808338,0.2290184337563334,0.24902396797449328,0.0,-0.0013714235818931275,0.499514015808338,0.85,0.999999999997998,0.4584824980041172,0.4985324937699936,0.0,-0.002745515718254827,0.999999999997998,0.85,
I51,interior,magic,7,3,100,0.34435610967413577,0.41410672175670316,0.18204903804062209,0.3416626884454993,0.1888384929558581,0.7243424628440293,0.52,0.11187019055832836,0.47505536243321944,0.24865796575125446,0.36835647276384265,0.11570350367325677,0.8172857363648873,0.03,0.8475334901353665,0.8434321970654239,0.09439172293778579,0.8461379102750519,0.706533198744054,0.9761859867123893,0.61,1.076678160557536,0.9301820735843769,0.12023532912422821,0.8603900126358339,0.7931681144965008,1.076678160557536,0.72,0.9999999999990712,0.8639369754670575,0.1116724881480415,0.799115319836616,0.7366807868425956,0.9999999999990712,0.72,
I51,interior,entanglement,7,3,100,0.49999999999775924,0.6699999999970015,0.23685438564548053,0.49999999999776323,0.4999999999977602,0.9999999999955259,0.02,0.22363051176196103,0.2236305117619618,4.900097325835942e-16,0.2236305117619617,0.22363051176196103,0.22363051176196258,0.03,0.49999999999776257,0.14499999999935206,0.22688102608975283,2.2340438124600474e-15,1.6548472684889237e-16,0.4999999999977633,0.8,0.22363051176196191,0.06485284841096946,0.10147503994751512,8.881784197001252e-16,0.0,0.22363051176196258,0.71,0.9999999999955254,0.2899999999987046,0.4537620521795063,3.971633444373418e-15,0.0,0.9999999999955284,0.71,
I55,interior,magic,8,3,100,0.9720807397240138,0.5394892521193136,0.26045366533888537,0.6238937058201199,0.03093290624655204,0.9436022038882945,0.97,0.8559696330476765,0.47849024404615953,0.23017112769614365,0.554203867362526,0.02647762840899137,0.8559696330476765,0.94,0.9999999999988317,0.6105965606826714,0.2168109721312676,0.6470831922028604,0.3319802758077285,0.9816469069388729,0.98,0.8559696330476765,0.5333008652760983,0.18794835493211492,0.5770539029613115,0.29895868768385386,0.8559696330476765,0.84,0.9999999999988317,0.6230371320261207,0.2195736246655223,0.674152307139728,0.3492631936241282,0.9999999999988317,0.84,
