K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
32,2,1,P,M,magic,0.012558593749999996,0.0119961630726994,5,"[0.02031250000000001, 0.017480468749999995, 0.009082031250000011, -0.009082031249999997, 0.024999999999999963]"
32,4,3,P,X,mix,0.005991210937500001,0.0019179674136901054,5,"[0.004864501953125001, 0.005578613281250007, 0.0036071777343749936, 0.006616210937500005, 0.009289550781249996]"
32,5,4,CX,E,entanglement,0.004216308593750001,0.0023295781509659265,5,"[0.007110595703125004, 0.0041015624999999984, 0.0003295898437500025, 0.0035400390625000017, 0.005999755859375]"
32,6,5,P,X,mix,-0.0018566894531249986,0.0030798327747997263,5,"[0.0028686523437499957, -0.0025512695312500003, -0.004333496093749998, -0.005572509765624997, 0.00030517578125000737]"
32,7,6,CX,E,entanglement,0.022628173828125007,0.002350931608919584,5,"[0.02136840820312502, 0.02265014648437502, 0.02095947265625, 0.020996093749999993, 0.027166748046875015]"
32,8,7,H,E,entanglement,0.02621704101562499,0.004074705568453892,5,"[0.0229248046875, 0.02713012695312498, 0.02723388671874999, 0.03278808593749998, 0.02100830078125001]"
32,9,8,P,M,magic,-0.002031250000000001,0.010966479465854117,5,"[-0.00732421875000001, 0.016601562499999997, 0.0020507812499999944, -0.005371093749999983, -0.016113281250000003]"
32,10,9,H,E,entanglement,0.005933837890624998,0.0042224426356654386,5,"[1.2207031249993668e-05, 0.007989501953124993, 0.011810302734374998, 0.0023498535156249996, 0.0075073242187500035]"
32,11,10,P,X,mix,0.0014965820312499995,0.0008000253971360047,5,"[0.001824951171874998, 0.0019104003906250033, 0.001190185546875003, 0.0024475097656249966, 0.00010986328124999744]"
32,12,11,CX,E,entanglement,0.013183593750000009,0.004331048838580294,5,"[0.010119628906250015, 0.020007324218750025, 0.013787841796874999, 0.007263183593749998, 0.014739990234375002]"
32,13,12,P,X,mix,0.006182861328125,0.0017568924933464725,5,"[0.004290771484374999, 0.007733154296874998, 0.0059509277343749965, 0.008618164062500003, 0.004321289062500003]"
32,14,13,CX,E,entanglement,0.0074414062500000044,0.002542890157818207,5,"[0.0053955078125000056, 0.009710693359375001, 0.00697021484375, 0.004193115234375002, 0.01093750000000001]"
32,15,14,RY,X,mix,-0.01163818359375,0.009905536445406217,5,"[-0.0028808593749999967, -0.011126708984374995, -0.03042602539062501, -0.009649658203124996, -0.004107666015625002]"
32,16,15,RY,X,mix,0.006926269531249999,0.001112980048944204,5,"[0.008221435546875003, 0.005712890624999991, 0.005529785156250006, 0.00792236328125, 0.007244873046875002]"
32,17,16,CX,E,entanglement,0.014019775390625,0.0012349811948664943,5,"[0.014184570312500009, 0.015661621093749994, 0.012823486328125008, 0.014996337890624985, 0.012432861328125005]"
32,18,17,RY,X,mix,0.004388427734374996,0.0015697881477922363,5,"[0.0037109374999999977, 0.0038391113281249934, 0.006005859374999999, 0.0020874023437499932, 0.006298828124999997]"
32,19,18,RY,M,magic,-0.003593750000000008,0.00490557195752633,5,"[-0.010253906250000014, 0.0024414062499999965, -0.008496093749999985, -0.0004882812500000173, -0.0011718750000000201]"
