benchmark_id,family_role,property,group,score,abs_share
I43,interior,entanglement,M,-0.007625926950699539,0.01402788249854689
I43,interior,entanglement,X,0.23253652312776454,0.42775062548398585
I44,interior,magic,E,0.1521585072534087,0.18489158131318773
I44,interior,magic,M,0.44420097855489077,0.53975964162884
I44,interior,magic,X,0.22660122539719085,0.2753487770579723
I44,interior,entanglement,E,0.39129616621569885,0.5270063492708567
I44,interior,entanglement,M,0.35119235741799026,0.4729936507291429
I44,interior,entanglement,X,3.108624468950438e-16,4.1867643337260444e-16
I45,interior,magic,E,0.11503835004929004,0.1341547633564274
I45,interior,magic,M,0.7424664240723103,0.8658452366435725
I45,interior,magic,X,0.0,0.0
I45,interior,entanglement,E,0.4288183330403452,0.4903530250810179
I45,interior,entanglement,M,0.4456910736661686,0.5096469749189821
I45,interior,entanglement,X,0.0,0.0
I51,interior,magic,E,0.19698883366420006,0.17111669976930807
I51,interior,magic,M,0.5244825425725623,0.4555980158988214
I51,interior,magic,X,0.4297244680599757,0.37328528433187064
I51,interior,entanglement,E,0.1341783070571771,0.5149253731343267
I51,interior,entanglement,M,0.12639985447415233,0.48507462686567016
I51,interior,entanglement,X,7.919590908992783e-16,3.0392381550518317e-15
I52,interior,magic,E,0.05942148226241875,0.05424988798466086
I52,interior,magic,M,0.5955342236465908,0.5437034502300286
I52,interior,magic,X,0.4403734177054052,0.40204666178531057
I52,interior,entanglement,E,0.1805684021703859,0.5026300646525007
I52,interior,entanglement,M,-0.004644630562562356,0.012928790042373055
I52,interior,entanglement,X,0.1740340853144451,0.4844411453051262
I53,interior,magic,E,0.14784364301496716,0.13645362100300612
I53,interior,magic,M,0.7518252472946467,0.6939038788732316
I53,interior,magic,X,0.18380285582829267,0.1696425001237622
I53,interior,entanglement,E,0.2464999551501162,0.5544422753465958
I53,interior,entanglement,M,0.030172471180090324,0.06786570635978868
I53,interior,entanglement,X,0.16791841046343964,0.37769201829361554
I54,interior,magic,E,0.3839871534434044,0.35900078046824574
I54,interior,magic,M,0.3216802202552488,0.3007482127910629
I54,interior,magic,X,0.3639323997128944,0.3402510067406913
I54,interior,entanglement,E,0.3567403245767464,0.488926041705223
I54,interior,entanglement,M,0.29698756428694123,0.4070326347736765
I54,interior,entanglement,X,0.07591278098598186,0.10404132352110038
I55,interior,magic,E,-1.1842378929335003e-16,1.3902871813507962e-16
I55,interior,magic,M,0.829488885684584,0.9738142747514594
I55,interior,magic,X,0.022304836374264614,0.026185725248540417
I55,interior,entanglement,E,0.36933710857795854,0.5165611366039606
I55,interior,entanglement,M,0.3456549463917583,0.4834388633960391
I55,interior,entanglement,X,-2.220446049250313e-16,3.105553458694528e-16
