benchmark_id,family_role,grid_row,grid_col,candidate_uid,sre,entanglement_q,sre_norm,ent_norm,sample_frac,repeats,runtime_magic_mean_s,runtime_entanglement_mean_s,runtime_total_mean_s,top_group_magic,top_margin_magic,top_group_entanglement,top_margin_entanglement,magic_E,entanglement_E,magic_abs_share_E,entanglement_abs_share_E,magic_M,entanglement_M,magic_abs_share_M,entanglement_abs_share_M,magic_X,entanglement_X,magic_abs_share_X,entanglement_abs_share_X
I15,interior,1,5,pool_05280,0.1414532534219739,0.8579950800984828,0.1170131096536313,0.8579950800984828,0.7,5,0.4950739086001704,0.010411491799823125,0.5054854003999936,X,0.1140162790364661,E,0.1371687724593713,1.554312234475219e-16,0.42168242241620474,1.0988168860552807e-15,0.5952081455159028,0.013718487192753846,0.002266043935378888,0.09698247909385134,0.0031985393194862155,0.12773476622921995,0.2845136499568334,0.9030175209061475,0.401593315164611
E2,entanglement_axis,2,0,pool_04101,0.2674717381531799,0.3093590885844655,0.2212582536535947,0.3093590885844655,0.7,5,0.5209577499997977,0.012295799799903761,0.5332535497997015,M,0.2697000794518307,M,0.17666180265651538,-2.9605947323337513e-17,0.11059894876233765,1.09773595111696e-16,0.27798479894286704,0.2697000794518307,0.28726075141885304,0.9999999999999998,0.7220152010571329,0.0,0.0,0.0,0.0
I21,interior,2,1,pool_00421,0.3566732394827476,0.096170356164152,0.2950476137696748,0.096170356164152,0.7,5,29.205979566600217,0.9060336167996865,30.112013183399903,M,0.28749306979170847,X,0.026188910844483604,0.04753552807706952,0.13138392543395178,0.10661762804634761,0.28026717983466615,0.335028597868778,-0.17982422617016527,0.7514369962304794,0.3835996570219655,-0.06328642380006705,0.15757283627843538,0.14194537572317295,0.3361331631433684
I22,interior,2,2,pool_08549,0.360520564487238,0.3047927155345389,0.2982302020222095,0.3047927155345389,0.7,5,2.7005627500002447,0.0696242998001253,2.77018704980037,M,0.23182092417542277,E,0.016709784835491598,0.0,0.17779575072848125,0.0,0.5246543026901568,0.3204045433237751,0.16108596589298965,0.7834078653697237,0.4753456973098426,0.08858361914835232,-2.072416312633626e-16,0.21659213463027624,6.115456252095485e-16
I23,interior,2,3,pool_03707,0.3746934494414127,0.5000000000000018,0.3099543108788921,0.5000000000000018,0.7,5,0.507853358599823,0.017382108600213542,0.5252354672000364,X,0.28623188283528783,E,0.6611111111111101,-1.1842378929335003e-16,0.6388888888888883,3.009147978504581e-16,0.8949416342412458,0.05365701581027149,-0.052777777777777514,0.13634245418216281,0.07392996108949391,0.3398888986455593,-0.02222222222222186,0.8636575458178369,0.031128404669260243
I24,interior,2,4,pool_04467,0.3737565279752184,0.7116097936004024,0.3091792697143486,0.7116097936004024,0.7,5,5.7633013416001635,0.2053647834000003,5.968666125000164,M,0.26903760245913727,E,0.02582719594423144,0.05411263793429553,0.38559341871493985,0.1219383632074029,0.5173253249215051,0.329347689308608,0.3597662227707084,0.7421578339831634,0.48267467507849404,0.06031008684947077,-6.957397620984315e-16,0.13590380280943368,9.334282719033255e-16
I25,interior,2,5,pool_06108,0.3712826894851351,0.909928978789086,0.307132858426501,0.909928978789086,0.7,5,5.803913000000466,0.22806075800035613,6.031973758000822,M,0.521820438792489,E,0.9678723172730068,-0.1531658299251613,0.9678723172730068,0.22691695671994666,0.9578096325089325,0.521820438792489,-0.04263361670649972,0.7730830432800534,0.04219036749106744,0.0,0.0,0.0,0.0
E3,entanglement_axis,3,0,pool_06218,0.1973273374989643,0.5108744031547481,0.1632333284802236,0.5108744031547481,0.7,5,0.4944549250001728,0.011280974599867478,0.5057358996000403,X,0.19732733749896436,X,0.051087440315474825,0.0,0.15326232094642442,0.0,0.4285714285714286,-7.401486830834375e-18,0.0,3.750867429036902e-17,0.0,0.19732733749896436,0.20434976126189924,1.0,0.5714285714285715
I31,interior,3,1,pool_07685,0.6017548382155575,0.1064574536366969,0.4977842726506112,0.1064574536366969,0.7,5,29.86446780820079,0.9471017666000989,30.811569574800888,X,0.1466391598325754,M,0.009135828227138362,-0.024164636473134986,0.03687797488447127,0.036694925654530815,0.381359230044066,0.24386210827457463,0.04601380311160963,0.3703139479479093,0.47583384339880863,0.39050126810715,0.013809631014551987,0.5929911263975599,0.14280692655712532
I32,interior,3,2,pool_03726,0.6111430301830194,0.2962508751806145,0.5055503827227554,0.2962508751806145,0.7,5,3.3058279333999963,0.13657139140013896,3.442399324800135,M,0.11704443572180051,E,0.06780195772747444,0.20759199732101447,0.23009591543511404,0.35223868383853213,0.5863961615324454,0.324636433042815,0.1622939577076396,0.5508377556780767,0.4136038384675541,0.05712193586731292,1.776356839400251e-16,0.09692356048339128,4.527020091453791e-16
I33,interior,3,3,pool_08234,0.5949850756056136,0.499514015808338,0.4921841824763448,0.499514015808338,0.7,5,0.592935199999556,0.013262775000475813,0.6061979750000318,M,0.03157799896192193,E,0.03348379086480813,0.10338400746599466,0.2499398643817547,0.20188404470269672,0.5358963148517821,0.22014498512286068,-9.621932880084693e-17,0.42989008751896823,2.0630395975220787e-16,0.18856698616093875,0.21645607351694657,0.36822586777833505,0.46410368514821765
I34,interior,3,4,pool_02068,0.6187273049953901,0.6891793609520558,0.5118242545411419,0.6891793609520558,0.7,5,10.870191566799985,0.3329908997999155,11.2031824665999,M,0.29947041431983856,E,0.15577118361608835,-7.302800339756585e-17,0.3743608778736489,1.0899553110147013e-16,0.5940302413935973,0.48473978330891726,0.21858969425756056,0.7234823310194463,0.3468548572262853,0.18526936898907867,0.037254511359820934,0.27651766898055374,0.05911490138011743
I35,interior,3,5,pool_02349,0.6147105484368596,0.8996884863305661,0.5085015089395744,0.8996884863305661,0.7,5,142.2322983582002,4.523017516400796,146.755315874601,M,0.6317704649048432,E,0.15028723983322628,-0.08675483033533177,0.5387097666349439,0.10994811512420055,0.5626278078113531,0.6670340455758502,0.38842252680171757,0.8453608375609575,0.4056680021305211,0.03526358067100698,0.03035640363031871,0.04469104731484208,0.031704190058125734
E4,entanglement_axis,4,0,pool_07823,2.6645352591003757e-15,0.6666666666666685,2.9388795606228004e-15,0.6666666666666685,0.7,5,0.00993722519961011,0.0004429247994266916,0.010380149999036803,E,0.0,E,0.6666666666666659,0.0,0.6666666666666659,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I41,interior,4,1,pool_09515,0.8525998935288155,0.0955792288800241,0.7052885841695544,0.0955792288800241,0.7,5,692.1130476914004,27.80030480839996,719.9133524998003,M,0.4080544005755967,E,0.4001591956995644,0.17185100503721462,0.40015919569956476,0.1900738980062049,0.5830053769004526,0.5799054056128113,-0.2862138834425358,0.6413979417567386,0.41699462309954677,0.15237091477371328,4.144832625267251e-16,0.16852816023705655,6.038745911258473e-16
I42,interior,4,2,pool_01918,0.8439719011909919,0.3020828880672572,0.6981513272377204,0.3020828880672572,0.7,5,64.58709066680021,1.9158218668002518,66.50291253360047,M,0.3961501470858365,E,0.009521720042285464,0.042106152262189146,0.16111087363586946,0.04850182374906895,0.5152250067367246,0.6110897190714388,0.151589153593584,0.7039105749847023,0.4847749932632733,0.2149395719856023,6.439293542825909e-16,0.2475876012662287,2.0592558305410255e-15
I43,interior,4,3,pool_04501,0.8446832031653417,0.5037692694858007,0.6987397312079929,0.5037692694858007,0.7,5,29.56201250020022,0.9092440499989607,30.47125655019918,M,0.03744711137030238,E,0.07092740458026112,-0.004152844817579418,0.30346392770802566,0.004611143088912222,0.5582214920174674,0.46695248462895667,-0.007625926950699539,0.518484272090436,0.01402788249854689,0.4295053732586543,0.23253652312776454,0.4769045848206518,0.42775062548398585
I44,interior,4,4,pool_07503,0.8499850652600935,0.6945554450358189,0.7031255431681528,0.6945554450358189,0.7,5,13.902909866599657,0.430203800000163,14.33311366659982,M,0.21759975315769992,E,0.040103808797708584,0.1521585072534087,0.39129616621569885,0.18489158131318773,0.5270063492708567,0.44420097855489077,0.35119235741799026,0.53975964162884,0.4729936507291429,0.22660122539719085,3.108624468950438e-16,0.2753487770579723,4.1867643337260444e-16
I45,interior,4,5,pool_01608,0.8588375819538796,0.9031176938232972,0.7104485313747971,0.9031176938232972,0.7,5,0.6629262165995897,0.024175383600231727,0.6871016001998215,M,0.6274280740230203,M,0.01687274062582339,0.11503835004929004,0.4288183330403452,0.1341547633564274,0.4903530250810179,0.7424664240723103,0.4456910736661686,0.8658452366435725,0.5096469749189821,0.0,0.0,0.0,0.0
E5,entanglement_axis,5,0,pool_09458,0.1088742173699244,0.8956792030709488,0.0900630450510461,0.8956792030709488,0.7,5,0.34845365019937163,0.007273175000227639,0.35572682519959925,M,0.08856457516294657,E,0.15185894679102713,-1.232595164407831e-32,0.44835332913000614,1.1321276921052998e-31,0.6005441047253264,0.09871939626643542,0.296494382338979,0.9067288716392276,0.39713757393829996,0.010154821103488856,0.0017308089130800026,0.09327112836077253,0.002318321336373638
I51,interior,5,1,pool_00780,1.076678160557536,0.2236305117619625,0.8906508448211998,0.2236305117619625,0.7,5,1.0606620752005256,0.02369654160065693,1.0843586168011825,M,0.09475807451258661,E,0.007778452583024759,0.19698883366420006,0.1341783070571771,0.17111669976930807,0.5149253731343267,0.5244825425725623,0.12639985447415233,0.4555980158988214,0.48507462686567016,0.4297244680599757,7.919590908992783e-16,0.37328528433187064,3.0392381550518317e-15
I52,interior,5,2,pool_01015,1.090066103412036,0.2981306504308081,0.9017256330453836,0.2981306504308081,0.7,5,6.710844175401144,0.21183529179979815,6.922679467200942,M,0.1551608059411856,E,0.006534316855940775,0.05942148226241875,0.1805684021703859,0.05424988798466086,0.5026300646525007,0.5955342236465908,-0.004644630562562356,0.5437034502300286,0.012928790042373055,0.4403734177054052,0.1740340853144451,0.40204666178531057,0.4844411453051262
I53,interior,5,3,pool_08632,1.0884292499793218,0.481395065962177,0.90037159342045,0.481395065962177,0.7,5,13.72453435819989,0.5711072833997605,14.29564164159965,M,0.568022391466354,E,0.07858154468667655,0.14784364301496716,0.2464999551501162,0.13645362100300612,0.5544422753465958,0.7518252472946467,0.030172471180090324,0.6939038788732316,0.06786570635978868,0.18380285582829267,0.16791841046343964,0.1696425001237622,0.37769201829361554
I54,interior,5,4,pool_06063,1.082195563881171,0.6899749123600529,0.8952149570243026,0.6899749123600529,0.7,5,37.23354523320013,1.3558550499998092,38.58940028319994,E,0.020054753730509967,E,0.059752760289805196,0.3839871534434044,0.3567403245767464,0.35900078046824574,0.488926041705223,0.3216802202552488,0.29698756428694123,0.3007482127910629,0.4070326347736765,0.3639323997128944,0.07591278098598186,0.3402510067406913,0.10404132352110038
I55,interior,5,5,pool_06084,0.8559696330476765,0.7138794292067392,0.7080761036523929,0.7138794292067392,0.7,5,1.2985944496002049,0.03236481679996359,1.3309592664001684,M,0.8071840493103194,E,0.02368216218620023,-1.1842378929335003e-16,0.36933710857795854,1.3902871813507962e-16,0.5165611366039606,0.829488885684584,0.3456549463917583,0.9738142747514594,0.4834388633960391,0.022304836374264614,-2.220446049250313e-16,0.026185725248540417,3.105553458694528e-16
