benchmark_id,family_role,property,gate_idx,group,phi
I24,interior,entanglement,1,M,0.041594761648953024
I24,interior,entanglement,2,E,0.0
I24,interior,entanglement,3,E,0.023029198223120377
I24,interior,entanglement,4,M,0.14592436458931207
I24,interior,entanglement,6,M,0.14021723318026552
I24,interior,entanglement,7,M,7.84557604068444e-17
I24,interior,entanglement,10,E,0.36256422049181947
I24,interior,entanglement,11,X,-6.957397620984315e-16
I24,interior,entanglement,14,M,-2.906317162240965e-16
I25,interior,magic,2,E,0.0
I25,interior,magic,3,M,-2.7415558802953065e-05
I25,interior,magic,4,X,0.0
I25,interior,magic,5,E,-0.15316582992516128
I25,interior,magic,6,M,0.05640518392983336
I25,interior,magic,7,M,0.15970901418900887
I25,interior,magic,8,M,-0.0056586604646129395
I25,interior,magic,10,M,0.1893528039571843
I25,interior,magic,13,M,0.12203951273987831
I25,interior,magic,15,E,-3.700743415417189e-17
I25,interior,entanglement,2,E,0.0
I25,interior,entanglement,3,M,-6.069219201284189e-17
I25,interior,entanglement,4,X,0.0
I25,interior,entanglement,5,E,0.5244681181814156
I25,interior,entanglement,6,M,0.0007781162963354399
I25,interior,entanglement,7,M,-1.8750433304780422e-16
I25,interior,entanglement,8,M,4.39154885296173e-17
I25,interior,entanglement,10,M,-0.04341173300283511
I25,interior,entanglement,13,M,1.519771962597992e-16
I25,interior,entanglement,15,E,0.44340419909159123
I31,interior,magic,0,M,0.05294580795584889
I31,interior,magic,1,M,9.623994575580745e-17
I31,interior,magic,2,M,-5.366181037129726e-16
I31,interior,magic,3,M,0.08983224439228528
I31,interior,magic,4,E,-0.024164636473134986
I31,interior,magic,5,X,0.08467724224538346
I31,interior,magic,6,M,0.10233623198343175
I31,interior,magic,7,M,-0.0007448918618976465
I31,interior,magic,8,X,0.028895339198602925
I31,interior,magic,9,E,0.0
I31,interior,magic,10,X,0.2769286866631636
I31,interior,magic,11,M,-0.0004047274407231002
I31,interior,magic,12,E,0.0
I31,interior,magic,13,M,-0.00010255675437010939
I31,interior,magic,14,E,0.0
I31,interior,entanglement,0,M,0.012642572786296541
I31,interior,entanglement,1,M,2.906990649436342e-17
I31,interior,entanglement,2,M,-3.6479640107182027e-16
I31,interior,entanglement,3,M,0.03416580899404478
I31,interior,entanglement,4,E,0.013126727083642067
I31,interior,entanglement,5,X,-9.621932880084689e-17
I31,interior,entanglement,6,M,1.7145059745186262e-16
I31,interior,entanglement,7,M,-0.0007945786687318946
I31,interior,entanglement,8,X,0.013809631014552421
I31,interior,entanglement,9,E,0.008293286372282386
I31,interior,entanglement,10,X,-3.367676508029642e-16
I31,interior,entanglement,11,M,2.1449879940947313e-16
I31,interior,entanglement,12,E,0.010198231565631289
I31,interior,entanglement,13,M,1.4732876014802913e-16
I31,interior,entanglement,14,E,0.005259729862915523
I32,interior,magic,0,X,5.625129991434126e-16
I32,interior,magic,1,E,0.0
I32,interior,magic,2,E,0.0
I32,interior,magic,6,M,0.12751624618660626
I32,interior,magic,7,M,0.15727092623337227
I32,interior,magic,9,E,0.20759199732101447
I32,interior,magic,10,X,0.05712193586731236
I32,interior,magic,11,M,0.0679070712279888
I32,interior,magic,14,E,0.0
I32,interior,magic,16,E,0.0
I32,interior,magic,17,M,-0.028057810605152354
I32,interior,entanglement,0,X,4.884981308350689e-16
I32,interior,entanglement,1,E,0.0
I32,interior,entanglement,2,E,0.0
I32,interior,entanglement,6,M,0.16229395770764046
I32,interior,entanglement,7,M,-1.9308226515220107e-17
I32,interior,entanglement,9,E,0.11520867368134961
I32,interior,entanglement,10,X,-3.108624468950438e-16
I32,interior,entanglement,11,M,-4.827056628805028e-16
I32,interior,entanglement,14,E,0.0492823256831246
I32,interior,entanglement,16,E,0.06560491607063981
I32,interior,entanglement,17,M,-3.687871264407041e-16
I33,interior,magic,0,X,0.001739200145854832
I33,interior,magic,1,E,-0.002353768717756551
I33,interior,magic,2,X,0.18682778601508393
I33,interior,magic,3,E,0.10573777618375121
I33,interior,magic,4,M,-4.588921835117314e-16
I33,interior,magic,5,M,0.19540149542969884
I33,interior,magic,6,M,0.024743489693162313
I33,interior,entanglement,0,X,-0.00017161435916020668
I33,interior,entanglement,1,E,0.00013714235818929795
I33,interior,entanglement,2,X,0.21662768787610678
I33,interior,entanglement,3,E,0.2498027220235654
I33,interior,entanglement,4,M,-3.4416913763379854e-16
I33,interior,entanglement,5,M,4.2188474935755947e-16
I33,interior,entanglement,6,M,-1.7393494052460786e-16
I34,interior,magic,0,E,0.0
I34,interior,magic,1,E,0.0
I34,interior,magic,2,X,0.18531109161277645
I34,interior,magic,3,M,0.008923340416914683
I34,interior,magic,4,M,-0.006098496422415135
I34,interior,magic,5,M,0.29705280411265134
I34,interior,magic,6,M,0.013481874304377037
I34,interior,magic,7,E,-9.86864910777917e-18
I34,interior,magic,8,E,-5.033011044967376e-17
I34,interior,magic,9,M,0.12363833312390068
I34,interior,magic,10,M,0.047741927773488665
I34,interior,magic,11,X,-4.17226236977856e-05
I34,interior,magic,12,E,9.868649107779171e-19
I34,interior,magic,13,E,-1.3816108750890837e-17
I34,interior,entanglement,0,E,0.0
I34,interior,entanglement,1,E,0.0
I34,interior,entanglement,2,X,0.03725451135982113
I34,interior,entanglement,3,M,0.05239310770452127
I34,interior,entanglement,4,M,0.02197488844918791
I34,interior,entanglement,5,M,0.1405260930597369
I34,interior,entanglement,6,M,0.0036956050441146796
I34,interior,entanglement,7,E,0.02159090507761936
I34,interior,entanglement,8,E,0.03876156077785232
I34,interior,entanglement,9,M,-9.819305862240274e-17
I34,interior,entanglement,10,M,-1.174369243825721e-16
I34,interior,entanglement,11,X,-1.9243865760169378e-16
I34,interior,entanglement,12,E,0.008130279740343718
I34,interior,entanglement,13,E,0.3058781322778335
I35,interior,magic,0,E,0.0
I35,interior,magic,1,X,4.440892098500626e-16
I35,interior,magic,2,M,7.065168224211526e-16
I35,interior,magic,3,M,-0.0033704401228132758
I35,interior,magic,4,M,0.09153168465295511
I35,interior,magic,5,M,0.05611387049982647
I35,interior,magic,6,M,-0.019387509843317573
I35,interior,magic,7,M,0.031677608711415596
I35,interior,magic,8,M,-1.113629566681189e-16
I35,interior,magic,9,M,0.2681831950679338
I35,interior,magic,10,E,-0.08675483033533182
I35,interior,magic,11,X,0.03526358067100654
I35,interior,magic,12,E,5.1810407815840633e-17
I35,interior,magic,13,M,0.15481870643526113
I35,interior,magic,14,M,0.0874669301745884
I35,interior,entanglement,0,E,0.0
I35,interior,entanglement,1,X,2.3684757858670006e-16
I35,interior,entanglement,2,M,4.0197196261184193e-16
I35,interior,entanglement,3,M,0.08465546122393139
I35,interior,entanglement,4,M,0.03947327724214585
I35,interior,entanglement,5,M,0.2642937883356396
I35,interior,entanglement,6,M,9.532124044062014e-17
I35,interior,entanglement,7,M,1.342796941359743e-16
I35,interior,entanglement,8,M,-6.162744265004356e-17
I35,interior,entanglement,9,M,-5.1593627866820374e-17
I35,interior,entanglement,10,E,0.2996705494185367
I35,interior,entanglement,11,X,0.030356403630318475
I35,interior,entanglement,12,E,0.23903921721640717
I35,interior,entanglement,13,M,-3.3105395071807315e-17
I35,interior,entanglement,14,M,2.6536962616493627e-16
I41,interior,magic,1,M,0.0
I41,interior,magic,3,M,0.01955836535327592
I41,interior,magic,4,M,0.10045663176354994
I41,interior,magic,5,M,-0.05565033444260835
I41,interior,magic,6,M,-0.019985768148201365
I41,interior,magic,8,M,-0.006092733556037969
I41,interior,magic,9,M,0.10283913606400882
I41,interior,magic,10,M,0.005354581276515151
I41,interior,magic,11,M,0.09581985400439533
I41,interior,magic,13,E,0.17185100503721462
I41,interior,magic,14,X,0.15237091477371328
I41,interior,magic,16,M,0.009476408420033543
I41,interior,magic,17,M,0.05904336206830298
I41,interior,magic,18,M,0.26908590280957734
I41,interior,entanglement,1,M,0.0
I41,interior,entanglement,3,M,-0.01978386739605019
I41,interior,entanglement,4,M,-0.06517202420563281
I41,interior,entanglement,5,M,0.03885046540766101
I41,interior,entanglement,6,M,-0.01170080474043234
I41,interior,entanglement,8,M,3.917974150093046e-16
I41,interior,entanglement,9,M,0.014131583234134049
I41,interior,entanglement,10,M,-7.338506437225883e-17
I41,interior,entanglement,11,M,-0.2425392357422162
