r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
3,2-4-5-6-9-11-13-14-16-18-20-21,2-4-5-6-9-11-13-14-16-18-20-21,1-2-3-4-5-6-8-9-10-11-13-14-15-16-17-18-20-21,12,18,0.559,1
3,2-4-5-6-9-11-13-16-18-19-20,2-4-5-6-9-11-13-16-18-19-20,1-2-3-4-5-6-8-9-10-11-13-15-16-17-18-19-20,11,17,0.672,1
3,2-4-5-6-9-11-13-16-18-19-20-21,2-4-5-6-9-11-13-16-18-19-20-21,1-2-3-4-5-6-8-9-10-11-13-15-16-17-18-19-20-21,12,18,0.672,1
3,2-4-5-6-9-11-13-16-18-20,2-4-5-6-9-11-13-16-18-20,1-2-3-4-5-6-8-9-10-11-13-15-16-17-18-20,10,16,0.608,1
3,2-4-5-6-9-11-13-16-18-20-21,2-4-5-6-9-11-13-16-18-20-21,1-2-3-4-5-6-8-9-10-11-13-15-16-17-18-20-21,11,17,0.608,1
3,2-4-5-7-9-11-12-13-14-16-18-19-20-21,2-4-5-7-9-11-12-13-14-16-18-19-20-21,1-2-3-4-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21,14,20,0.56,1
3,2-4-5-7-9-11-12-13-14-16-18-19-21,2-4-5-7-9-11-12-13-14-16-18-19-21,1-2-3-4-5-7-8-9-10-11-12-13-14-15-16-17-18-19-21,13,19,0.542,1
3,2-4-5-7-9-11-12-14-16-18,2-4-5-7-9-11-12-14-16-18,1-2-3-4-5-7-8-9-10-11-12-14-15-16-17-18,10,16,0.663,1
3,2-4-5-7-9-11-12-14-16-18-19,2-4-5-7-9-11-12-14-16-18-19,1-2-3-4-5-7-8-9-10-11-12-14-15-16-17-18-19,11,17,0.663,1
3,2-4-5-7-9-11-12-14-16-18-19-20-21,2-4-5-7-9-11-12-14-16-18-19-20-21,1-2-3-4-5-7-8-9-10-11-12-14-15-16-17-18-19-20-21,13,19,0.651,1
3,2-4-5-7-9-11-12-14-16-18-19-21,2-4-5-7-9-11-12-14-16-18-19-21,1-2-3-4-5-7-8-9-10-11-12-14-15-16-17-18-19-21,12,18,0.663,1
3,2-4-5-7-9-11-12-14-16-18-21,2-4-5-7-9-11-12-14-16-18-21,1-2-3-4-5-7-8-9-10-11-12-14-15-16-17-18-21,11,17,0.663,1
3,2-4-5-7-9-11-12-14-16-19-21,2-4-5-7-9-11-12-14-16-19-21,1-2-3-4-5-7-8-9-10-11-12-14-15-16-17-19-21,11,17,0.641,1
3,2-4-5-7-9-11-12-14-18-19-21,2-4-5-7-9-11-12-14-18-19-21,1-2-3-4-5-7-8-9-10-11-12-14-15-17-18-19-21,11,17,0.639,1
3,2-4-5-7-9-11-12-14-19-21,2-4-5-7-9-11-12-14-19-21,1-2-3-4-5-7-8-9-10-11-12-14-15-17-19-21,10,16,0.614,1
3,2-4-5-7-9-11-12-16-18,2-4-5-7-9-11-12-16-18,1-2-3-4-5-7-8-9-10-11-12-15-16-17-18,9,15,0.597,1
3,2-4-5-7-9-11-12-16-18-19,2-4-5-7-9-11-12-16-18-19,1-2-3-4-5-7-8-9-10-11-12-15-16-17-18-19,10,16,0.597,1
3,2-4-5-7-9-11-12-16-18-19-21,2-4-5-7-9-11-12-16-18-19-21,1-2-3-4-5-7-8-9-10-11-12-15-16-17-18-19-21,11,17,0.597,1
3,2-4-5-7-9-11-12-16-18-21,2-4-5-7-9-11-12-16-18-21,1-2-3-4-5-7-8-9-10-11-12-15-16-17-18-21,10,16,0.597,1
3,2-4-5-7-9-11-14-16-18,2-4-5-7-9-11-14-16-18,1-2-3-4-5-7-8-9-10-11-14-15-16-17-18,9,15,0.597,1
3,2-4-5-7-9-11-14-16-18-19,2-4-5-7-9-11-14-16-18-19,1-2-3-4-5-7-8-9-10-11-14-15-16-17-18-19,10,16,0.597,1
3,2-4-5-7-9-11-14-16-18-19-21,2-4-5-7-9-11-14-16-18-19-21,1-2-3-4-5-7-8-9-10-11-14-15-16-17-18-19-21,11,17,0.597,1
3,2-4-5-7-9-11-14-16-18-21,2-4-5-7-9-11-14-16-18-21,1-2-3-4-5-7-8-9-10-11-14-15-16-17-18-21,10,16,0.597,1
3,2-4-5-7-9-11-16-18,2-4-5-7-9-11-16-18,1-2-3-4-5-7-8-9-10-11-15-16-17-18,8,14,0.663,1
3,2-4-5-7-9-11-16-18-19,2-4-5-7-9-11-16-18-19,1-2-3-4-5-7-8-9-10-11-15-16-17-18-19,9,15,0.663,1
3,2-4-5-7-9-11-16-18-19-21,2-4-5-7-9-11-16-18-19-21,1-2-3-4-5-7-8-9-10-11-15-16-17-18-19-21,10,16,0.663,1
3,2-4-5-7-9-11-16-18-21,2-4-5-7-9-11-16-18-21,1-2-3-4-5-7-8-9-10-11-15-16-17-18-21,9,15,0.663,1
3,2-4-5-7-9-12-14-16-18-19-21,2-4-5-7-9-12-14-16-18-19-21,1-2-3-4-5-7-8-9-10-12-14-15-16-17-18-19-21,11,17,0.62,1
3,2-4-5-7-9-12-14-16-19-21,2-4-5-7-9-12-14-16-19-21,1-2-3-4-5-7-8-9-10-12-14-15-16-17-19-21,10,16,0.531,1
3,2-4-5-7-9-12-14-18-19-21,2-4-5-7-9-12-14-18-19-21,1-2-3-4-5-7-8-9-10-12-14-15-17-18-19-21,10,16,0.63,1
3,2-4-5-7-9-12-14-19-21,2-4-5-7-9-12-14-19-21,1-2-3-4-5-7-8-9-10-12-14-15-17-19-21,9,15,0.589,1
3,2-4-5-7-11-12-14-16-18-19-21,2-4-5-7-11-12-14-16-18-19-21,1-2-3-4-5-7-8-10-11-12-14-15-16-17-18-19-21,11,17,0.655,1
3,2-4-5-7-11-12-14-16-19-21,2-4-5-7-11-12-14-16-19-21,1-2-3-4-5-7-8-10-11-12-14-15-16-17-19-21,10,16,0.626,1
3,2-4-5-7-11-12-14-18-19-21,2-4-5-7-11-12-14-18-19-21,1-2-3-4-5-7-8-10-11-12-14-15-17-18-19-21,10,16,0.566,1
3,2-4-5-7-11-12-14-19-21,2-4-5-7-11-12-14-19-21,1-2-3-4-5-7-8-10-11-12-14-15-17-19-21,9,15,0.558,1
3,2-4-5-7-12-14-16-18-19-21,2-4-5-7-12-14-16-18-19-21,1-2-3-4-5-7-8-10-12-14-15-16-17-18-19-21,10,16,0.581,1
3,2-4-5-7-12-14-16-19-21,2-4-5-7-12-14-16-19-21,1-2-3-4-5-7-8-10-12-14-15-16-17-19-21,9,15,0.561,1
3,2-4-5-7-12-14-18-19-21,2-4-5-7-12-14-18-19-21,1-2-3-4-5-7-8-10-12-14-15-17-18-19-21,9,15,0.58,1
3,2-4-5-7-12-14-19-21,2-4-5-7-12-14-19-21,1-2-3-4-5-7-8-10-12-14-15-17-19-21,8,14,0.593,1
3,2-4-5-9-11-12-14-16-18,2-4-5-9-11-12-14-16-18,1-2-3-4-5-8-9-10-11-12-14-15-16-17-18,9,15,0.558,1
3,2-4-5-9-11-12-14-16-18-19,2-4-5-9-11-12-14-16-18-19,1-2-3-4-5-8-9-10-11-12-14-15-16-17-18-19,10,16,0.558,1
3,2-4-5-9-11-12-14-16-18-19-21,2-4-5-9-11-12-14-16-18-19-21,1-2-3-4-5-8-9-10-11-12-14-15-16-17-18-19-21,11,17,0.558,1
3,2-4-5-9-11-12-14-16-18-21,2-4-5-9-11-12-14-16-18-21,1-2-3-4-5-8-9-10-11-12-14-15-16-17-18-21,10,16,0.558,1
3,2-4-5-9-11-12-16-18,2-4-5-9-11-12-16-18,1-2-3-4-5-8-9-10-11-12-15-16-17-18,8,14,0.633,1
3,2-4-5-9-11-12-16-18-19,2-4-5-9-11-12-16-18-19,1-2-3-4-5-8-9-10-11-12-15-16-17-18-19,9,15,0.633,1
3,2-4-5-9-11-12-16-18-19-21,2-4-5-9-11-12-16-18-19-21,1-2-3-4-5-8-9-10-11-12-15-16-17-18-19-21,10,16,0.633,1
3,2-4-5-9-11-12-16-18-21,2-4-5-9-11-12-16-18-21,1-2-3-4-5-8-9-10-11-12-15-16-17-18-21,9,15,0.633,1
3,2-4-5-9-11-14-16-18,2-4-5-9-11-14-16-18,1-2-3-4-5-8-9-10-11-14-15-16-17-18,8,14,0.633,1
3,2-4-5-9-11-14-16-18-19,2-4-5-9-11-14-16-18-19,1-2-3-4-5-8-9-10-11-14-15-16-17-18-19,9,15,0.633,1
3,2-4-5-9-11-14-16-18-19-21,2-4-5-9-11-14-16-18-19-21,1-2-3-4-5-8-9-10-11-14-15-16-17-18-19-21,10,16,0.633,1
3,2-4-5-9-11-14-16-18-21,2-4-5-9-11-14-16-18-21,1-2-3-4-5-8-9-10-11-14-15-16-17-18-21,9,15,0.633,1
3,2-4-5-9-11-16-18,2-4-5-9-11-16-18,1-2-3-4-5-8-9-10-11-15-16-17-18,7,13,0.558,1
3,2-4-5-9-11-16-18-19,2-4-5-9-11-16-18-19,1-2-3-4-5-8-9-10-11-15-16-17-18-19,8,14,0.558,1
3,2-4-5-9-11-16-18-19-21,2-4-5-9-11-16-18-19-21,1-2-3-4-5-8-9-10-11-15-16-17-18-19-21,9,15,0.558,1
3,2-4-5-9-11-16-18-21,2-4-5-9-11-16-18-21,1-2-3-4-5-8-9-10-11-15-16-17-18-21,8,14,0.558,1
3,2-4-6-7-9-11-12-13-14-16-18-19-20,2-4-6-7-9-11-12-13-14-16-18-19-20,1-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,13,19,0.556,1
3,2-4-6-7-9-11-12-13-14-16-18-19-20-21,2-4-6-7-9-11-12-13-14-16-18-19-20-21,1-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21,14,20,0.556,1
3,2-4-6-7-9-11-12-13-14-16-18-20,2-4-6-7-9-11-12-13-14-16-18-20,1-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-18-20,12,18,0.581,1
3,2-4-6-7-9-11-12-13-14-16-18-20-21,2-4-6-7-9-11-12-13-14-16-18-20-21,1-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21,13,19,0.581,1
3,2-4-6-7-9-11-12-13-16-18-19-20,2-4-6-7-9-11-12-13-16-18-19-20,1-2-3-4-6-7-8-9-10-11-12-13-15-16-17-18-19-20,12,18,0.584,1
3,2-4-6-7-9-11-12-13-16-18-19-20-21,2-4-6-7-9-11-12-13-16-18-19-20-21,1-2-3-4-6-7-8-9-10-11-12-13-15-16-17-18-19-20-21,13,19,0.584,1
3,2-4-6-7-9-11-12-13-16-18-20,2-4-6-7-9-11-12-13-16-18-20,1-2-3-4-6-7-8-9-10-11-12-13-15-16-17-18-20,11,17,0.621,1
3,2-4-6-7-9-11-12-13-16-18-20-21,2-4-6-7-9-11-12-13-16-18-20-21,1-2-3-4-6-7-8-9-10-11-12-13-15-16-17-18-20-21,12,18,0.621,1
3,2-4-6-7-9-11-13-14-16-18-19-20,2-4-6-7-9-11-13-14-16-18-19-20,1-2-3-4-6-7-8-9-10-11-13-14-15-16-17-18-19-20,12,18,0.679,1
3,2-4-6-7-9-11-13-14-16-18-19-20-21,2-4-6-7-9-11-13-14-16-18-19-20-21,1-2-3-4-6-7-8-9-10-11-13-14-15-16-17-18-19-20-21,13,19,0.679,1
3,2-4-6-7-9-11-13-14-16-18-20,2-4-6-7-9-11-13-14-16-18-20,1-2-3-4-6-7-8-9-10-11-13-14-15-16-17-18-20,11,17,0.623,1
3,2-4-6-7-9-11-13-14-16-18-20-21,2-4-6-7-9-11-13-14-16-18-20-21,1-2-3-4-6-7-8-9-10-11-13-14-15-16-17-18-20-21,12,18,0.623,1
3,2-4-6-7-9-11-13-16-18-19-20,2-4-6-7-9-11-13-16-18-19-20,1-2-3-4-6-7-8-9-10-11-13-15-16-17-18-19-20,11,17,0.7,1
3,2-4-6-7-9-11-13-16-18-19-20-21,2-4-6-7-9-11-13-16-18-19-20-21,1-2-3-4-6-7-8-9-10-11-13-15-16-17-18-19-20-21,12,18,0.7,1
3,2-4-6-7-9-11-13-16-18-20,2-4-6-7-9-11-13-16-18-20,1-2-3-4-6-7-8-9-10-11-13-15-16-17-18-20,10,16,0.665,1
3,2-4-6-7-9-11-13-16-18-20-21,2-4-6-7-9-11-13-16-18-20-21,1-2-3-4-6-7-8-9-10-11-13-15-16-17-18-20-21,11,17,0.665,1
3,2-4-6-9-11-12-13-14-16-18-19-20,2-4-6-9-11-12-13-14-16-18-19-20,1-2-3-4-6-8-9-10-11-12-13-14-15-16-17-18-19-20,12,18,0.671,1
3,2-4-6-9-11-12-13-14-16-18-19-20-21,2-4-6-9-11-12-13-14-16-18-19-20-21,1-2-3-4-6-8-9-10-11-12-13-14-15-16-17-18-19-20-21,13,19,0.671,1
3,2-4-6-9-11-12-13-14-16-18-20,2-4-6-9-11-12-13-14-16-18-20,1-2-3-4-6-8-9-10-11-12-13-14-15-16-17-18-20,11,17,0.676,1
3,2-4-6-9-11-12-13-14-16-18-20-21,2-4-6-9-11-12-13-14-16-18-20-21,1-2-3-4-6-8-9-10-11-12-13-14-15-16-17-18-20-21,12,18,0.676,1
3,2-4-6-9-11-12-13-16-18-19-20,2-4-6-9-11-12-13-16-18-19-20,1-2-3-4-6-8-9-10-11-12-13-15-16-17-18-19-20,11,17,0.665,1
3,2-4-6-9-11-12-13-16-18-19-20-21,2-4-6-9-11-12-13-16-18-19-20-21,1-2-3-4-6-8-9-10-11-12-13-15-16-17-18-19-20-21,12,18,0.665,1
3,2-4-6-9-11-12-13-16-18-20,2-4-6-9-11-12-13-16-18-20,1-2-3-4-6-8-9-10-11-12-13-15-16-17-18-20,10,16,0.629,1
3,2-4-6-9-11-12-13-16-18-20-21,2-4-6-9-11-12-13-16-18-20-21,1-2-3-4-6-8-9-10-11-12-13-15-16-17-18-20-21,11,17,0.629,1
3,2-4-6-9-11-13-14-16-18-19-20,2-4-6-9-11-13-14-16-18-19-20,1-2-3-4-6-8-9-10-11-13-14-15-16-17-18-19-20,11,17,0.64,1
3,2-4-6-9-11-13-14-16-18-19-20-21,2-4-6-9-11-13-14-16-18-19-20-21,1-2-3-4-6-8-9-10-11-13-14-15-16-17-18-19-20-21,12,18,0.64,1
3,2-4-6-9-11-13-14-16-18-20,2-4-6-9-11-13-14-16-18-20,1-2-3-4-6-8-9-10-11-13-14-15-16-17-18-20,10,16,0.615,1
3,2-4-6-9-11-13-14-16-18-20-21,2-4-6-9-11-13-14-16-18-20-21,1-2-3-4-6-8-9-10-11-13-14-15-16-17-18-20-21,11,17,0.615,1
3,2-4-6-9-11-13-16-18,2-4-6-9-11-13-16-18,1-2-3-4-6-8-9-10-11-13-15-16-17-18,8,14,0.655,1
3,2-4-6-9-11-13-16-18-19-20,2-4-6-9-11-13-16-18-19-20,1-2-3-4-6-8-9-10-11-13-15-16-17-18-19-20,10,16,0.631,1
3,2-4-6-9-11-13-16-18-19-20-21,2-4-6-9-11-13-16-18-19-20-21,1-2-3-4-6-8-9-10-11-13-15-16-17-18-19-20-21,11,17,0.631,1
3,2-4-6-9-11-13-16-18-20,2-4-6-9-11-13-16-18-20,1-2-3-4-6-8-9-10-11-13-15-16-17-18-20,9,15,0.604,1
3,2-4-6-9-11-13-16-18-20-21,2-4-6-9-11-13-16-18-20-21,1-2-3-4-6-8-9-10-11-13-15-16-17-18-20-21,10,16,0.604,1
3,2-4-6-9-11-13-16-20,2-4-6-9-11-13-16-20,1-2-3-4-6-8-9-10-11-13-15-16-17-20,8,14,0.643,1
3,2-4-6-9-11-13-18-20,2-4-6-9-11-13-18-20,1-2-3-4-6-8-9-10-11-13-15-17-18-20,8,14,0.605,1
3,2-4-6-9-11-13-20,2-4-6-9-11-13-20,1-2-3-4-6-8-9-10-11-13-15-17-20,7,13,0.621,1
3,2-4-6-9-11-16-18,2-4-6-9-11-16-18,1-2-3-4-6-8-9-10-11-15-16-17-18,7,13,0.592,1
3,2-4-6-9-11-16-18-20,2-4-6-9-11-16-18-20,1-2-3-4-6-8-9-10-11-15-16-17-18-20,8,14,0.62,1
3,2-4-6-9-13-16-18-20,2-4-6-9-13-16-18-20,1-2-3-4-6-8-9-10-13-15-16-17-18-20,8,14,0.611,1
3,2-4-6-9-13-16-20,2-4-6-9-13-16-20,1-2-3-4-6-8-9-10-13-15-16-17-20,7,13,0.602,1
3,2-4-6-9-13-18-20,2-4-6-9-13-18-20,1-2-3-4-6-8-9-10-13-15-17-18-20,7,13,0.583,1
3,2-4-6-9-13-20,2-4-6-9-13-20,1-2-3-4-6-8-9-10-13-15-17-20,6,12,0.618,1
3,2-4-6-11-13-16-18-20,2-4-6-11-13-16-18-20,1-2-3-4-6-8-10-11-13-15-16-17-18-20,8,14,0.657,1
3,2-4-6-11-13-16-20,2-4-6-11-13-16-20,1-2-3-4-6-8-10-11-13-15-16-17-20,7,13,0.676,1
3,2-4-6-11-13-18-20,2-4-6-11-13-18-20,1-2-3-4-6-8-10-11-13-15-17-18-20,7,13,0.602,1
3,2-4-6-11-13-20,2-4-6-11-13-20,1-2-3-4-6-8-10-11-13-15-17-20,6,12,0.649,1
3,2-4-6-13-16-18-20,2-4-6-13-16-18-20,1-2-3-4-6-8-10-13-15-16-17-18-20,7,13,0.653,1
3,2-4-6-13-16-20,2-4-6-13-16-20,1-2-3-4-6-8-10-13-15-16-17-20,6,12,0.59,1
3,2-4-6-13-18-20,2-4-6-13-18-20,1-2-3-4-6-8-10-13-15-17-18-20,6,12,0.582,1
3,2-4-6-13-20,2-4-6-13-20,1-2-3-4-6-8-10-13-15-17-20,5,11,0.605,1
3,2-4-7-9-11-12-14-16-18,2-4-7-9-11-12-14-16-18,1-2-3-4-7-8-9-10-11-12-14-15-16-17-18,9,15,0.558,1
3,2-4-7-9-11-12-14-16-18-19,2-4-7-9-11-12-14-16-18-19,1-2-3-4-7-8-9-10-11-12-14-15-16-17-18-19,10,16,0.558,1
3,2-4-7-9-11-12-14-16-18-19-21,2-4-7-9-11-12-14-16-18-19-21,1-2-3-4-7-8-9-10-11-12-14-15-16-17-18-19-21,11,17,0.558,1
3,2-4-7-9-11-12-14-16-18-21,2-4-7-9-11-12-14-16-18-21,1-2-3-4-7-8-9-10-11-12-14-15-16-17-18-21,10,16,0.558,1
3,2-4-7-9-11-12-16-18,2-4-7-9-11-12-16-18,1-2-3-4-7-8-9-10-11-12-15-16-17-18,8,14,0.633,1
